country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent,totalporciones
St. Lucia,171,315,71,10.1,nan,557
St. Vincent & the Grenadines,120,221,11,6.3,nan,352
Samoa,105,18,24,2.6,OC,147
San Marino,0,0,0,0.0,EU,0
Sao Tome & Principe,56,38,140,4.2,AF,234
Saudi Arabia,0,5,0,0.1,AS,5
Senegal,9,1,7,0.3,AF,17
Serbia,283,131,127,9.6,EU,541
Seychelles,157,25,51,4.1,AF,233
Sierra Leone,25,3,2,6.7,AF,30
Singapore,60,12,11,1.5,AS,83
Slovakia,196,293,116,11.4,EU,605
Slovenia,270,51,276,10.6,EU,597
Solomon Islands,56,11,1,1.2,OC,68
Somalia,0,0,0,0.0,AF,0
South Africa,225,76,81,8.2,AF,382
Spain,284,157,112,10.0,EU,553
Sri Lanka,16,104,0,2.2,AS,120
Sudan,8,13,0,1.7,AF,21
Suriname,128,178,7,5.6,SA,313
Swaziland,90,2,2,4.7,AF,94
Sweden,152,60,186,7.2,EU,398
Switzerland,185,100,280,10.2,EU,565
Syria,5,35,16,1.0,AS,56
Tajikistan,2,15,0,0.3,AS,17
Thailand,99,258,1,6.4,AS,358
Macedonia,106,27,86,3.9,EU,219
Timor-Leste,1,1,4,0.1,AS,6
Togo,36,2,19,1.3,AF,57
Tonga,36,21,5,1.1,OC,62
Trinidad & Tobago,197,156,7,6.4,nan,360
Tunisia,51,3,20,1.3,AF,74
Turkey,51,22,7,1.4,AS,80
Turkmenistan,19,71,32,2.2,AS,122
Tuvalu,6,41,9,1.0,OC,56
Uganda,45,9,0,8.3,AF,54
Ukraine,206,237,45,8.9,EU,488
United Arab Emirates,16,135,5,2.8,AS,156
United Kingdom,219,126,195,10.4,EU,540
Tanzania,36,6,1,5.7,AF,43
USA,249,158,84,8.7,nan,491
Uruguay,115,35,220,6.6,SA,370
Uzbekistan,25,101,8,2.4,AS,134
Vanuatu,21,18,11,0.9,OC,50
Venezuela,333,100,3,7.7,SA,436
Vietnam,111,2,1,2.0,AS,114
Yemen,6,0,0,0.1,AS,6
Zambia,32,19,4,2.5,AF,55
Zimbabwe,64,18,4,4.7,AF,86
